Salario,Empresa,Comuna,Región,Cargo,Descripción,salario,Puesto,Tecnologias
900000.0,Ramcotec Ltda,concepción,Bíobío,Técnico electronico trabajo en terreno - Disponibilidad de viajar,"Buscamos un Técnico Electrónico altamente motivado y con experiencia para unirse a nuestro equipo.  Responsabilidades:  Realizar trabajos de instalación, desinstalación, mantenimiento y reparación de equipos electrónicos en plataformas flotantes en el mar y embarcaciones. Diagnosticar y solucionar problemas electrónicos utilizando herramientas especializadas como multímetros digitales. Trabajar en equipo para cumplir con los objetivos del proyecto, incluso bajo presión. Realizar trabajos en altura y en entornos marítimos, asegurando el cumplimiento de las normas de seguridad. Utilizar herramientas eléctricas como taladros y desatornilladores para realizar tareas mecánicas. Gestionar tareas de manera independiente y eficiente.  Requisitos:  Disponibilidad para viajar. Capacidad para trabajar en equipo y bajo presión. Habilidades mecánicas y manejo de herramientas eléctricas. Resistencia al mareo y capacidad para trabajar en altura. Conocimiento en el uso de multímetros digitales para medir señales. Capacidad para gestionar tareas de manera independiente. Ideal título de Técnico en Electrónica o similar. Ideal Conocimientos en automatización. Licencia de conducir clase B al dia.  Ofrecemos:  Salario competitivo de acuerdo al mercado y beneficios atractivos. Oportunidad de trabajar en proyectos desafiantes y únicos. Desarrollo profesional y crecimiento dentro de la empresa. Ambiente de trabajo dinámico y colaborativo. Debera comenzar como ayudante por 3 meses para luego desarrollarse con tareas independientes de acuerdo a sus avances aumentando sus beneficios.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica  años de experiencia Edad: entre 30 y 45 años Conocimientos: Tecnología de la información, Electrónica Licencias de conducir: B   Disponibilidad de viajar: Si Palabras clave: tecnologo, tecnico, tech, technician, technology, tecnologia, technologist, electronic, campo, terreno, territorio",900000.0,Técnico,[]
2200000.0,BCTecnología,santiago,Metropolitana,desarrollador software,"¿Eres un experto en procesos de migración de datos y en la implementación de soluciones tecnológicas avanzadas? ¡Estamos buscando profesionales como tú para unirse a nuestro equipo en proyectos desafiantes y de alto impacto!  Funciones principales:  Desarrollo y mantenimiento de aplicaciones y procesos utilizando tecnologías como SQL Server, SQL Integration Services, ASP.Net, ETL Microsoft, .NET Framework 4.0, Procesos Batch/Masivos (CMD), MVC con Angular y Python. Implementación y gestión de microservicios. Análisis e interpretación de datos para apoyar la toma de decisiones estratégicas. Crear y modificar piezas de software para la automatización de procesos. Participar y realizar certificaciones de pruebas unitarias e integrales. Validar el funcionamiento de las piezas de software modificadas o creadas en los distintos entornos bancarios. Desarrollar soluciones de software que hagan uso eficiente de los recursos computacionales (memoria, disco, procesador) y cumplan con los requisitos acordados, las funcionalidades solicitadas por el Product Owner, y los estándares establecidos por el líder técnico y arquitectura digital. Programar código funcional, mantenible y de calidad, asegurando el incremento del producto hasta alcanzar el producto final (Backend y Frontend). Realizar y mantener pruebas unitarias de calidad para los componentes de la solución de cada sprint. Corregir defectos o problemas encontrados durante las pruebas QA. Asegurar la calidad del producto al final de cada sprint, garantizando que sea potencialmente apto para ser puesto en producción. Fomentar la propiedad colectiva del código durante el ciclo del sprint. Estar en la búsqueda continua de soluciones innovadoras y mejoras en los entregables. Requisitos:  Experiencia comprobable en el uso de SQL Server, SQL Integration Services, ASP.Net, ETL Microsoft, Procesos Batch, MVC con Angular y Python. Deseable certificación o experiencia en metodologías Scrum. Deseable certificación en .NET Framework 4.0 o tecnologías similares. Deseable certificación en Microsoft SQL Server Integration Services (SSIS) o similar. Deseable experiencia en el desarrollo de sistemas, migraciones o proyectos similares en el ámbito bancario. Deseable conocimientos en plataformas como Genesys Cloud y servicios de Marketing Cloud de Salesforce. Sólida capacidad de análisis, interpretación y modelamiento de datos. Dominio avanzado de herramientas de ofimática como Excel y Word. Ofrecemos:  Contrato a proyecto por 1 año con posibilidad de extensión. Trabajo presencial en Santiago Centro. Seguro complementario de salud. Aguinaldo de Fiestas Patrias y Navidad. -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 3 años de experiencia Edad: entre 24 y 60 años Palabras clave: developer, programador",2200000.0,Developer,"['Salesforce', '.NET', 'Integration', 'Python', 'Angular']"
750000.0,BCTecnología,las condes,Metropolitana,Soporte Terreno,"¿Qué necesitas para postular?  1 a 2 años de experiencia en lo siguiente  •	Hardware (Instalación, mantención y configuración de equipos) •	Software (Instalaciones de Software) •	Configuraciones Correos, perfil de usuario, respaldo de datos •	Telefonía y Redes  •	Hyflex  Asistencia técnica, antes y durante las actividades en salas Hyflex Realizar mantenciones y actualizaciones de los equipos de Hyflex. Preparación, instalación y configuración de los equipos para salas de Hyflex (PC, pantalla interactiva, Cámara Polycom, StreamDeck, Cámara Logitech y Kaptivo). ¿Qué ofrecemos? •	Contrato Proyecto 3 meses y luego Indefinido según desempeño  •	Lugar de Trabajo: Las Condes •	Modalidad: Presencial, por turnos  •	Turno 1: Lunes a Viernes 08:00 AM a 18:00 PM, con una hora de colación •	Turno 2: Lunes a Jueves de 10:30 AM a 20:00 PM Viernes 12:00 PM a 22:00 PM •	Turno 3: Miércoles a Domingo de 08:00 AM a 18:00 PM •	Turno 4: Miércoles a Viernes 08:00 a 18:00 Sábado y Domingo 08:00 AM a 20:00   **Experiencia en requisitos debe mencionarse en CV**  *Si ya estás trabajando con nosotros ó esta oferta no es de tu interés, favor reenviarla a tus contactos que cumplan con el perfil. -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 3 años de experiencia Palabras clave: apoyo, support, soporte, campo, terreno, territorio",750000.0,Soporte Técnico,[]
2500000.0,TNS CHILE,huechuraba,Metropolitana,Jefe de Ingeniería,"¡Únete a nuestro equipo en TNS Chile!  Buscamos un Jefe de Ingeniería con un fuerte enfoque en la optimización de recursos y la innovación continua. Si eres una persona organizada, con habilidades de liderazgo y visión estratégica, esta es tu oportunidad de formar parte de un equipo comprometido con la excelencia y el desarrollo sostenible del negocio.  Objetivo del cargo: Liderar y gestionar al equipo de ingeniería, alineando los productos y servicios a la estrategia y los objetivos del negocio, para garantizar la optimización de recursos y la innovación continua.  Principales Funciones:  1.- Desarrollar a los equipos de ingeniería, a través de la planificación, coordinación y ejecución de proyectos, aplicando medidas ágiles, a fin de asegurar que se cumplan dentro del plazo, el presupuesto y las especificaciones acordadas. 2.- Desarrollar productos, servicios, tecnologías, proveedores y marcas, alineados a la estrategia de la empresa. 3.- Desarrollo de productos, proveedores y ecosistema asociados, de manera de hacer atractiva la cartera de productos de la empresa hacia los clientes. 4.- Definir plan de trabajo para la ejecución de los proyectos de ingeniería, definiendo objetivos claros, identificando recursos humanos y materiales, para asegurar el cumplimiento de los acuerdos establecidos con el cliente. 5.- Liderar, motivar y desarrollar al equipo de ingeniería, proporcionando formación, desarrollo continuo para mejorar las habilidades del equipo, a fin de mantener el crecimiento, estabilidad y sostenibilidad de la empresa.  6.- Supervisar y gestionar el plan de trabajo para cumplir con los presupuestos del área de ingeniería, considerando los riesgos y desviaciones de cada etapa de ejecución, a fin de asegurar la calidad, tiempo y costo. 7.- Identificar riesgos técnicos de los proyectos, desarrollando planes de contingencia para mitigarlos.  8.- Preparar propuestas y presentaciones del área alineada con los requerimientos de los clientes, y las áreas de productos estratégicos de la empresa.  Requisitos: Formación: Ingeniero en Ejecución, Ingeniero Civil, Ingeniero en conectividad Informatica o carrera a fin. Experiencia: Mínimo 8 años de experiencia.  Conocimientos Mínimos: - Seguridad - Servidores y almacenamiento - Infraestructura - Redes de comunicaciones - Corrientes débiles - Data Center - Enlace de comunicaciones ISP - Dispositivos finales  Beneficios: Caja de Compensación Los Andes Mundo ACHS Día de Cumpleaños remunerado Gift Card de Cumpleaños Capacitaciones constantes y certificaciones en nuevas tecnologías. Seguro complementario de salud (Indefinido) Actividades recreativas y eventos de integración.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 8 años de experiencia Disponibilidad de viajar: Si ",2500000.0,Otros,[]
400000.0,Atcom,lampa,Metropolitana,Práctica en Ingeniería Civil Industrial - Lampa,"En ATCOM nos encontramos en búsqueda de un Práctica en Ingeniería Civil Industrial para nuestro cliente del rubro de Transportes de carga en Lampa.  ¿Cuáles serían tus funciones? - Participar en el mapeo y análisis de procesos logísticos. - Identificar oportunidades de mejora en la cadena de suministro. - Ayudar en el control y gestión de inventarios. - Realizar auditorías y seguimiento de niveles de stock  ¿Qué necesitas para postular? - Estudiante de Ingeniería Civil Industrial (preferentemente en los últimos años de la carrera). - Manejo de herramientas de software (Excel, ERP, etc.). - Habilidades analíticas y de resolución de problemas. - Capacidad para trabajar en equipo y comunicarse efectivamente. - Conocimiento en gestión de operaciones y logística  ¿Cuáles son las condiciones? - Renta: $400.000 - Tipo de jornada: Completa  - Modalidad: Presencial - Lugar de trabajo: Lampa - Horario: Lunes a Viernes y las horas se definirán acorde la disponibilidad del estudiante.  -Requerimientos- Educación mínima: Educación media C.H. / Técnica  años de experiencia Edad: entre 25 y 40 años Palabras clave: engeneering, ingenieria, industry, industrial, industria",400000.0,Práctica Profesional,[]
1550000.0,Perceptual Consultores Ltda.,santiago,Metropolitana,Programador Frontend - Ionic,"Estamos en búsqueda, de Profesional Informático, con experiencia en Desarrollo Frontend en IONIC, para nuestro cliente empresa desarrolladora de Software. Profesional con fuerte experiencia en el área de desarrollo de Sistemas de Pago.   ¿Qué funciones realizaras? Crear programas, softwares y sistemas especializados. Escribir código personalizado en diferentes lenguajes de programación. Define las especificaciones del programa o aplicación creado. Ejecute y comprueba si el código o sistema presenta alguna falla o error. Participar en el diseño y desarrollo de programas. Determinar cuándo un proceso o sistema esté listo y libre de errores. Administra, analiza y mantiene redes informáticas.   Condiciones: Contrato: 3 meses plazo fijo, luego indefinido Ubicación: Santiago Centro (Metro Moneda) Modalidad: Hibrida (Remoto/Presencial Horario: 8:30 a 18:30 horas RENTA: $1.550.000.-  Requisitos mínimos: +2 años de experiencia en el área de desarrollo Frontend. Ingeniero o Técnico Nivel Superior en Informática o afín. Experiencia en desarrollo Front-End con IONIC (Descartable) Javascript – Jquery – Ajax – CSS3 – Bootstrap – GIT – HTML 5 - Angular - TypeScript Bases de Datos: My SQL Integraciones de pago (Deseable), Finche, Proyectos. Azure (Deseable)/Angular (Ideal) Experiencia en Aplicaciones móviles Conocimientos en el área de infraestructura Experiencia en desarrollo de Sistemas de Pago (Deseable) Experiencia en el diseño y desarrollo de soluciones basadas en web progresivas (PWA). Experiencia UX/UI - Metodologías Ágiles (SCRUM) - JIRA.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 2 años de experiencia Palabras clave: developer, desarrollador",1550000.0,Frontend,"['Java', 'CSS', 'Angular']"
400000.0,Atcom,lampa,Metropolitana,Práctica en Ingeniería Civil Industrial - Lampa,"En ATCOM nos encontramos en búsqueda de un Práctica en Ingeniería Civil Industrial para nuestro cliente del rubro de Transportes de carga en Lampa.  ¿Cuáles serían tus funciones? - Participar en el mapeo y análisis de procesos logísticos. - Identificar oportunidades de mejora en la cadena de suministro. - Ayudar en el control y gestión de inventarios. - Realizar auditorías y seguimiento de niveles de stock  ¿Qué necesitas para postular? - Estudiante de Ingeniería Civil Industrial (preferentemente en los últimos años de la carrera). - Manejo de herramientas de software (Excel, ERP, etc.). - Habilidades analíticas y de resolución de problemas. - Capacidad para trabajar en equipo y comunicarse efectivamente. - Conocimiento en gestión de operaciones y logística  ¿Cuáles son las condiciones? - Renta: $400.000 - Tipo de jornada: Completa  - Modalidad: Presencial - Lugar de trabajo: Lampa - Horario: Lunes a Viernes y las horas se definirán acorde la disponibilidad del estudiante.  -Requerimientos- Educación mínima: Educación media C.H. / Técnica  años de experiencia Edad: entre 25 y 40 años Palabras clave: engeneering, ingenieria, industry, industrial, industria",400000.0,Práctica Profesional,[]
200000.0,Abenis,providencia,Metropolitana,Developer Frontend Magento,"Developer Frontend Magento Profesional Ti, con experiencia en Desarrollando utilizando MagentoProfesional es requerido por tiempo indefinido Modalidad remota o presencial  Interesados enviar CV detallado  Gracias.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T.  años de experiencia Palabras clave: desarrollador, programador",200000.0,Frontend,[]
600000.0,Wall partners Spa,providencia,Metropolitana,Analista de operaciones,"En Wall Partners, empresa de reclutamiento de personas, nos destacamos por entregar un servicio de calidad y excelencia en la gestión de personas, siempre preocupados del bienestar de nuestras y nuestros colaboradores y de su entorno laboral. Somos una empresa que orienta todos sus esfuerzos para que encuentres el espacio adecuado para crecer y desarrollar todo tu potencial.  ¡Únete a nuestro equipo!  Estamos en la búsqueda de talentos excepcionales para el área de Analista de operaciones. Si eres titulado/a en Ingeniería Civil Industrial, Ingeniería Civil Informática, Ingeniería en Control de Gestión e Información o Ingeniero en administración de datos y modelo, queremos conocerte.  Principales responsabilidades: -Responsable de la ejecución de pruebas y configuraciones de sistemas internos asociados a la operación. -Realización de análisis de negocio, detección de errores y entrega de posibles soluciones. -Reportar incidentes y/o alertas generadas en los flujos y procesos asignados. -Responsable de la administración y  ejecución de carga de nóminas en el core interno, dentro del SLA establecido. -Informar el estado de cargas de nóminas a los equipos involucrados en el flujo (clientes internos y  externos). -Control y seguimiento de los procesos asignados.  Requisitos: -Office nivel intermedio (Excel, Word) -Analítico -Resolutivo -Proactivo -Capacidad de trabajo en equipo -Manejo de herramientas de gestión de bases de datos (SQL). - Experiencia en herramientas de reportería (Power BI) a nivel intermedio. -Flexibilidad para manejar cambios de prioridades.Beneficios: - Aguinaldo para Fiestas Patrias y bono de Navidad. - Convenio con Caja de Compensación Los Andes. - Orientación psicológica, nutricional, legal y financiera gratuita y confidencial. - 4 días libres adicionales al año tras pasar a contrato indefinido. - Acceso a programas de capacitación (Universidad Católica y Escuela de Seguros de Chile). - Entrega de herramientas de trabajo y soporte TI continuo.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T.  años de experiencia Palabras clave: analyst, operations, operaciones",600000.0,Analista,[]
472534.0,IT People S.A.,concepción,Bíobío,"Analista Service Desk  Informático - trabajo en Concepción, part time","Analista Service Desk  Informático para servicio Bancario en Concepción  FUNCIONES: -Soporte y asistencia a funcionarios del Banco y clientes. -Generar reportes de incidentes.   REQUISITOS: -Certificado de Título de Técnico en Informática o áreas afines.  -Mínimo 1 año de experiencia comprobable en Mesa de Ayuda/ Help Desk / Call center, excluyente.  -Habilidades en atención al cliente, manejo de clientes molestos. -Deseable, experiencia en sector Bancario.  CONDICIONES: -Horario: Lunes a viernes, jornada parcial de 08:00 -15:00 h. Colación de media hora y break 15 minutos.  -Trabajo en Concepción, Región del Biobío. Trabajo Remoto  -Contrato a plazo fijo. -Caja de Compensación  -Renta: $472.534 líquidos mensuales.  -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 25 y 45 años Conocimientos: Microsoft Excel, Atención al cliente, Soporte al cliente, Microsoft Office Personas con discapacidad: Sí Palabras clave: analyst, servicio, service, mostrador, desk, expositor, exhibitor, computacional, informatico",472534.0,Analista,[]
