Ciudad/Comuna,Promedio_Salario
antofagasta,1499827.777777778
arica,850000.0
buin,1999999.0
calama,1140000.0
cartagena,1196307.0
cerrillos,2500000.0
cerro navia,2510000.0
chañaral,1111108.0
chillán,11111108.0
colina,1046250.0
concepción,1015277.5
conchalí,1500000.0
concón,1027000.0
copiapó,2238787.416666667
huechuraba,1403571.4285714286
iquique,2000000.0
la florida,1200000.0
la serena,1350000.0
lampa,1750000.0
las condes,1479134.11971831
lo barnechea,2700000.0
los andes,1300000.0
los ángeles,14000000.0
macul,1400000.0
mejillones,1214285.5714285714
peñaflor,1171428.5714285714
providencia,1896141.6944444445
pudahuel,1228500.0
puerto montt,1450000.0
punta arenas,1000000.0
quilicura,1323646.7647058824
quillota,825000.0
quilpué,850000.0
rancagua,766666.6666666666
recoleta,1400000.0
renca,1395833.3333333333
salamanca,1000000.0
san bernardo,1569250.0
santiago,1604950.8125633232
santiago centro,1961290.3010752688
talca,1666666.6666666667
talcahuano,1111110.0
temuco,1137500.0
valdivia,1800000.0
valparaíso,516666.6666666667
vitacura,1640000.0
viña del mar,1400000.0
ñuñoa,1300000.0
