Puesto,Promedio_Salario
Administrador,1585292.5277777778
Analista,1196922.3521811825
Backend,2369444.4444444445
Business Intelligence,1788888.888888889
Ciberseguridad,1300000.0
Cloud,2240869.5652173916
Consultor,1781250.0
Data Scientist,1657142.857142857
DevOps,2950000.0
Developer,1715570.041062802
Especialista en Sistemas,2189506.0
Frontend,2085000.0
Fullstack,2000980.3725490198
Ingeniero de IA,1721527.7777777778
Lider de proyecto,1868038.2839506173
Mobile,2689722.2222222225
Otros,1262375.0
Práctica Profesional,881249.5
QA,1900000.0
Redes,1625000.0
Soporte Técnico,1123097.2222222222
Técnico,1323801.0208333335
UX/UI,1351244.077614379
