Comuna,Puesto,Cantidad_Ofertas
antofagasta,Administrador,3
antofagasta,Analista,3
antofagasta,Backend,1
antofagasta,Business Intelligence,2
antofagasta,Data Scientist,6
antofagasta,Developer,4
antofagasta,Especialista en Sistemas,4
antofagasta,Ingeniero de IA,7
antofagasta,Lider de proyecto,3
antofagasta,Mobile,1
antofagasta,Otros,11
antofagasta,Redes,3
antofagasta,Soporte Técnico,16
antofagasta,Técnico,20
antofagasta,UX/UI,4
arica,Soporte Técnico,6
arica,Técnico,1
arica,UX/UI,1
buin,Lider de proyecto,1
buin,Otros,1
buin,Soporte Técnico,1
buin,UX/UI,2
calama,Analista,3
calama,Consultor,1
calama,Developer,1
calama,Otros,3
calama,Soporte Técnico,3
calama,Técnico,6
calama,UX/UI,2
cartagena,Administrador,1
castro,Técnico,2
catemu,Lider de proyecto,1
cerrillos,Data Scientist,2
cerro navia,Mobile,1
chañaral,Developer,1
chañaral,Especialista en Sistemas,1
chillán,Analista,2
chillán,Técnico,4
chillán,UX/UI,1
colina,Backend,1
colina,Consultor,2
colina,Práctica Profesional,1
colina,QA,1
colina,Soporte Técnico,1
colina,UX/UI,2
concepción,Administrador,1
concepción,Analista,7
concepción,Business Intelligence,1
concepción,Consultor,2
concepción,Data Scientist,2
concepción,Developer,3
concepción,Especialista en Sistemas,1
concepción,Frontend,1
concepción,Fullstack,1
concepción,Lider de proyecto,1
concepción,Otros,2
concepción,Práctica Profesional,2
concepción,Redes,1
concepción,Soporte Técnico,7
concepción,Técnico,11
concepción,UX/UI,3
conchalí,Otros,1
concón,Técnico,1
copiapó,Developer,3
copiapó,Fullstack,1
copiapó,Ingeniero de IA,1
copiapó,Lider de proyecto,1
copiapó,Mobile,4
copiapó,Otros,1
copiapó,Técnico,8
copiapó,UX/UI,1
coquimbo,Business Intelligence,1
coquimbo,Ingeniero de IA,1
coquimbo,Otros,1
coquimbo,Soporte Técnico,1
coquimbo,Técnico,2
coronel,Soporte Técnico,1
coya sur,Práctica Profesional,1
coyhaique,Soporte Técnico,1
coyhaique,Técnico,2
curicó,Soporte Técnico,1
curicó,Técnico,4
el bosque,UX/UI,1
estación central,Developer,1
estación central,Ingeniero de IA,1
huechuraba,Administrador,1
huechuraba,Analista,3
huechuraba,Data Scientist,1
huechuraba,Developer,2
huechuraba,Fullstack,1
huechuraba,Ingeniero de IA,1
huechuraba,Lider de proyecto,1
huechuraba,Mobile,1
huechuraba,Otros,1
huechuraba,QA,1
huechuraba,Soporte Técnico,5
huechuraba,Técnico,3
huechuraba,UX/UI,2
illapel,UX/UI,3
iquique,Analista,1
iquique,Lider de proyecto,1
iquique,Otros,2
iquique,Redes,1
iquique,Soporte Técnico,1
iquique,Técnico,4
iquique,UX/UI,4
la cisterna,Ingeniero de IA,1
la cisterna,Soporte Técnico,2
la cisterna,Técnico,1
la florida,Developer,1
la florida,Ingeniero de IA,1
la florida,Soporte Técnico,1
la reina,Analista,1
la serena,Administrador,1
la serena,Ingeniero de IA,1
la serena,Técnico,3
la serena,UX/UI,1
lampa,Analista,1
lampa,Developer,2
lampa,Otros,1
lampa,Práctica Profesional,12
las condes,Administrador,6
las condes,Analista,34
las condes,Backend,12
las condes,Business Intelligence,5
las condes,Ciberseguridad,4
las condes,Cloud,5
las condes,Consultor,12
las condes,Data Scientist,22
las condes,DevOps,1
las condes,Developer,17
las condes,Especialista en Sistemas,4
las condes,Frontend,2
