Ciudad/Comuna,Cantidad_Ofertas
santiago,1207
las condes,440
santiago centro,358
providencia,223
antofagasta,119
iquique,66
concepción,63
ñuñoa,63
quilicura,60
huechuraba,56
pudahuel,54
vitacura,41
calama,37
rancagua,32
renca,31
valparaíso,30
viña del mar,28
copiapó,27
maipú,26
lo barnechea,20
puerto montt,20
mejillones,19
san bernardo,17
lampa,17
la florida,15
temuco,14
la reina,14
talca,14
chillán,12
colina,10
coquimbo,10
la serena,9
macul,9
arica,8
estación central,8
recoleta,7
peñaflor,7
linares,6
cerrillos,6
san joaquín,6
peñalolén,6
san miguel,6
punta arenas,6
quillota,6
quilpué,5
puente alto,5
los ángeles,5
curicó,5
buin,5
mostazal,5
osorno,5
valdivia,5
salamanca,5
los andes,5
quinta normal,4
la cisterna,4
pemuco,3
coltauco,3
cerro navia,3
illapel,3
san ramón,3
talcahuano,3
coyhaique,3
concón,3
san felipe,2
chañaral,2
castro,2
sierra gorda,2
talagante,2
alhué,2
puerto varas,2
ovalle,2
melipilla,2
machalí,2
cartagena,1
angol,1
arauco,1
villarrica,1
hualpén,1
el bosque,1
torres del paine,1
diego de almagro,1
lima,1
calera de tango,1
coya sur,1
lo espejo,1
alto hospicio,1
independencia,1
san pedro de la paz,1
coronel,1
san fernando,1
catemu,1
san antonio,1
padre hurtado,1
paine,1
pedro aguirre cerda,1
conchalí,1
chillán viejo,1
puerto natales,1
