Puesto,Comuna,Cantidad_Ofertas
Administrador,antofagastala serenasantiagoantofagastacartagenahuechurabalas condesmejillonesprovidenciasantiago centrotalcañuñoaconcepciónlas condesrancaguasan bernardosan joaquínsantiago,77
Analista,concepciónrancaguasantiagotemucoantofagastacalamachillánconcepciónhuechurabala reinalas condesprovidenciapudahuelquilicurarencasan bernardosan joaquínsantiago centrotalcahuanotemucovitacuraviña del marñuñoaantofagastacalamachillánconcepciónhuechurabaiquiquelampalas condesmaipúmostazalprovidenciapudahuelpuerto varasquilicurasantiagoviña del mar,218
Backend,antofagastacolinasantiagovalparaísolas condesprovidenciapudahuelquilicurasantiago centrovitacuralas condesprovidenciasantiago,92
Business Intelligence,santiagoantofagastaconcepciónlas condespeñaflorvitacuraantofagastacoquimbolas condesprovidenciarancaguasalamancasantiago,19
Ciberseguridad,santiagolas condessantiago centrolas condessantiago,20
Cloud,puerto monttsantiagolas condeslo barnecheaprovidenciasantiago centrovitacuralas condessantiago,58
Consultor,concepciónsantiagocolinalas condesprovidenciaquilicurarencasantiago centrocalamalas condesmelipillapuerto monttsantiago,74
Data Scientist,concepciónrancaguasantiagovalparaísoantofagastacerrilloslas condesprovidenciapudahuelsantiago centrovitacuraviña del marñuñoaantofagastahuechurabalas condesprovidenciaquilicurarancaguasantiagoviña del marñuñoa,125
DevOps,puerto monttsantiagosantiago centrolas condessantiago,16
Developer,antofagastaconcepcióncopiapópuerto monttsantiagovaldiviavalparaísoantofagastacalamachañaralconcepcióncopiapóestación centralhuechurabala floridalampalas condesmejillonesprovidenciapudahuelpuerto monttquilicurasantiago centrovalparaísovitacurahuechurabalas condespeñalolénprovidenciapuerto monttquilpuérecoletasantiago,221
Especialista en Sistemas,concepciónsantiagoantofagastachañarallas condeslos andesprovidenciasantiago centroantofagastaprovidenciasantiago,29
Frontend,concepciónsantiagoprovidenciasan miguelsantiago centrolas condessantiago,43
Fullstack,concepcióncopiapósantiagovalparaísohuechurabalas condesprovidenciasantiago centrolas condesprovidenciasantiagovitacura,111
Ingeniero de IA,antofagastacoquimbosantiagoantofagastacopiapóestación centralla cisternala floridala serenalas condeslinareslo espejomaipúpeñaflorpeñalolénprovidenciapudahuelquilicurarecoletasan bernardosan felipesantiago centrovitacuraantofagastahuechurabalas condeslimaquilicurasantiagotalagantetemucoviña del mar,77
Lider de proyecto,antofagastaconcepcióncopiapóosornopuerto monttsantiagoantofagastabuiniquiquelas condesprovidenciasantiago centrocatemuhuechurabalas condesquilicurasantiago,151
Mobile,copiapórancaguasantiagovalparaísoantofagastacerro naviacopiapólas condeslos ángelespeñalolénprovidenciapudahuelsantiago centrosierra gordañuñoacopiapóhuechurabalas condesmaculprovidenciasan joaquínsantiago,88
Otros,antofagastacalamaiquiquelos andespunta arenasrancaguasantiagotemucovalparaísoantofagastacalamaconcepciónconchalícopiapóhuechurabalas condesmaipúprovidenciapudahuelquillotasalamancasan miguelsantiago centrotalcatemucoantofagastabuincalamaconcepcióncoquimbolampalas condespaineprovidenciapudahuelpuente altoquillotasantiagovitacurañuñoa,128
Práctica Profesional,colinaconcepciónsantiagolampalas condesosornoprovidenciapuente altoquilicurasan miguelsantiago centroñuñoaconcepcióncoya surlas condesprovidenciaquinta normalrancaguasantiagoviña del mar,66
QA,colinasan bernardosantiagolas condespudahuelsantiago centrovitacurahuechurabalas condesprovidenciasantiagoviña del mar,52
Redes,antofagastaconcepcióniquiquelos ángelessantiagotalcatemucolas condessantiago centrotalcaantofagastasantiagotalca,37
Soporte Técnico,antofagastaaricacalamaconcepcióncoyhaiquepuerto natalesrancaguasantiagotalcatemucovalparaísoantofagastaaricabuincalamacolinaconcepcióncoquimbocoronelhuechurabala cisternala floridalas condesmaculmelipillaovallepadre hurtadoprovidenciapuerto monttpunta arenasquilicurarancaguasalamancasantiago centrosierra gordatalaganteviña del marñuñoaantofagastaaricacalamaconcepcióncuricóhuechurabaiquiquela cisternalas condesmejillonesosornoprovidenciapuerto monttpuerto varasrancaguasalamancasantiago,225
Técnico,antofagastaaricacalamacastrochillánconcepcióncopiapócoquimbocoyhaiquecuricóiquiquela serenalinareslos ángelesosornopuente altopuerto monttpunta arenasquillotaquilpuérancaguasan felipesan fernandosantiagotalcatemucovaldiviavalparaísoantofagastacalamacastroconcepciónconcóncopiapócuricóhuechurabaiquiquela cisternala serenalas condesmaculmejillonespeñaflorprovidenciapudahuelquilicurasan antoniosan joaquínsan miguelsantiago centrovalparaísovillarricavitacuraviña del marantofagastacalamaconcepciónlinaresmejillonesrancaguasantiagovalparaísoviña del mar,246
UX/UI,colinaconcepcióniquiquela serenaquillotaquilpuésantiagovaldiviavalparaísoantofagastaaricacalamachilláncolinaconcepcióncopiapóillapellas condeslos andesmostazalprovidenciaquilicurasantiago centrotalcaviña del marñuñoabuinel bosquehuechurabaiquiquelas condesrancaguasantiago,128
