Oferta;Salario;Beneficios;Empresa;Descripcion;Ubicacion;Fecha_Publicacion;Fecha_Expiracion
"INGENIERO DE SOFTWARE – BLAZOR WEBASSEMBLY .NET 7+.";"a convenir";"-La empresa paga o copaga una cobertura de salud adicional.
-Utiliza lo que desees, sin dresscode.
-Cuidamos sus pertenencias y ofrecen un lugar para estacionar bicicletas.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-La empresa incluye casino para la alimentación
";"Grupo-O2";"En GRUPO O2 busca Ingeniero de Software – Blazor Webassembly .NET 7+.

¡POSTULA SÓLO SI CUMPLES CON LO REQUERIDO, NO SE REVISAN PERFILES QUE NO CUMPLEN!

Requerimientos Indispensables:
- Mid-Level. Al menos 2 años de Experiencia.
- 2 años Experiencia desarrollo Frontend y Backend
- Presencial en Las Condes.

Habilidades Técnicas:
-Programación Backend .NET Core +7, C#, Api Restful, Autenticación, Autorización.
-Sólidos conocimientos de HTML y CCS.
-Framework de Diseño web Bootstrap o Material UI o Similar
-Base de Datos SQL Server
-Office 365
-Versionamiento GIT

Deseable:
-Conocimientos Cloud Azure, Azure Devops / GPC
-Experiencia Arquitectura DDD, Clean Architecture y Principios SOLID.

Funciones y Responsabilidades del Cargo:
1. Análisis y Diseño del Sistema:
-Participar activamente en la recopilación y análisis de requisitos funcionales y no funcionales.
-Diseñar software que sean robustas y cumplan con el enfoque Domain Driven Design (DDD) y bajo una arquitectura Clean Architecture.
-Elaborar diagramas, esquemas y documentación técnica del sistema.

2. Desarrollo y Programación:
-Implementar funcionalidades del sistema conforme a las especificaciones definidas en .NET Core 8.
-Escribir código limpio, modular y reutilizable, siguiendo las mejores prácticas de programación. (Principios SOLID)
-Integrar servicios y APIs REST externas requeridas para el sistema.
-Diseñar interfaces de usuario en REACT, basados en la experiencia del usuario y aplicando las bunas prácticas UX/UI

3. Pruebas y Control de Calidad:
-Diseñar y ejecutar pruebas unitarias, funcionales de integración y de rendimiento.

4. Puesta en Producción:
-Elaboración de Manuales y Video manuales de Usuario.

Condiciones:
-Lugar de trabajo: Las Condes
-Jornada: Full Time - PRESENCIAL";"Santiago";"2025-03-24 10:24:32";"2025-06-07 (en 75 días)"
"INGENIERO DE SOFTWARE – FRONTEND REACT Y BACKEND .NET 7+";"a convenir";"-La empresa paga o copaga una cobertura de salud adicional.
-Utiliza lo que desees, sin dresscode.
-Cuidamos sus pertenencias y ofrecen un lugar para estacionar bicicletas.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-La empresa incluye casino para la alimentación
";"GRUPO-o2";"En GRUPO O2 busca Ingeniero de Software – Frontend REACT y Backend .NET 7+.

¡POSTULA SÓLO SI CUMPLES CON LO REQUERIDO, NO SE REVISAN PERFILES QUE NO CUMPLEN!

Requerimientos Indispensables:
- Junior / Mid-Level. Al menos 2 años de Experiencia.
- 2 años Experiencia desarrollo Frontend React
- Presencial en Las Condes.

Habilidades Técnicas:
-Programación Backend .NET Core +7, C#, Api Restful, Autenticación, Autorización.
-Sólidos Conocimientos en REACT - Vite (JS o TS)
-Sólidos conocimientos de Javascript, HTML y CCS.
-Framework de Diseño web Bootstrap o Material UI
-Base de Datos SQL Server
-Office 365
-Versionamiento GIT

Deseable:
-Conocimientos Cloud Azure, Azure Devops / GPC
-Experiencia Arquitectura DDD, Clean Architecture y Principios SOLID.

Funciones y Responsabilidades del Cargo:
1. Análisis y Diseño del Sistema:
-Participar activamente en la recopilación y análisis de requisitos funcionales y no funcionales.
-Diseñar software que sean robustas y cumplan con el enfoque Domain Driven Design (DDD) y bajo una arquitectura Clean Architecture.
-Elaborar diagramas, esquemas y documentación técnica del sistema.

2. Desarrollo y Programación:
-Implementar funcionalidades del sistema conforme a las especificaciones definidas en .NET Core 8.
-Escribir código limpio, modular y reutilizable, siguiendo las mejores prácticas de programación. (Principios SOLID)
-Integrar servicios y APIs REST externas requeridas para el sistema.
-Diseñar interfaces de usuario en REACT, basados en la experiencia del usuario y aplicando las bunas prácticas UX/UI

3. Pruebas y Control de Calidad:
-Diseñar y ejecutar pruebas unitarias, funcionales de integración y de rendimiento.

4. Puesta en Producción:
-Elaboración de Manuales y Video manuales de Usuario.

Condiciones:
-Lugar de trabajo: Las Condes
-Jornada: Full Time - PRESENCIAL";"Santiago";"2025-03-24 10:28:38";"2025-06-07 (en 75 días)"
"AYUDANTE CONDUCTOR";"None";"-¡La salud es lo más importante! La empresa paga el seguro de vida
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-La empresa provee el uniforme de trabajo
";"Reclutamiento XR3";"En XR3 nos encontramos buscando a nuestro proximo Ayudante Conductor

Dentro de tus funciones están, dar asistencia y acompañamiento a los tecnicos en ruta, apoyar en la realización de inventarios de equipos,

Que buscamos:

- Habilidad para comunicarse claramente con compañeros y supervisores.
- Capacidad para adaptarse a cambios en las tareas o prioridades según sea necesario.
- Fomento del trabajo colaborativo, apoyando a otros miembros del equipo.
- Enfoque en la mejora continua y la satisfacción del cliente.
- Es un plus si tienes habilidad para trabajar con herramientas o tienes conocimientos en electricidad


Requisitos:
- Licencia de conducir clase B
- Capacidad para seguir instrucciones y trabajar en equipo de manera colaborativa.
- Interés y disposición para aprender nuevas tecnologías y herramientas relacionadas con el sector.";"Illapel";"2025-03-22 12:02:01";"2025-06-05 (en 73 días)"
"DISEÑADOR UX UI (REMOTO)";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-Paga o copaga un seguro dental.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Kibernum";"¡Únete a nuestro equipo como Diseñador UX UI para uno de nuestros mas importantes cliente y expande tu experiencia con nosotros !

Estamos en la búsqueda de profesionales comunicativos, altamente proactivos, autónomos y con muchas ganas de aprender para formar parte de nuestro talentoso equipo. Si cuentas con al menos 2 años de experiencia en el cargo, ¡queremos conocerte!

Funciones:
- Evaluar, diseñar y proponer iniciativas relacionadas a procesos, sistemas y/o tecnologías, realizando el levantamiento y análisis funcional/técnico de los requerimientos de acuerdo a las normas y procedimientos
vigentes, con el objetivo de mantener la continuidad operacional de los servicios de TI de la Corporación y entregar un servicio de calidad a las áreas usuarias.
- Apoyar y dar soporte al ciclo de desarrollo en las especificaciones de diseño de modelos y esquemas de datos, diagramas de flujo de datos y controles de calidad de los datos.
- Supervisar y/o validar que las soluciones desarrolladas se ajusten a la metodología y estándares
- Asegurar el uso de la tecnología definida para el desarrollo y la ejecución de las aplicaciones, bajo su responsabilidad.

Requisitos:
- Formación académica de ingeniería en informática o carrera a fin.
- Experiencia mínima de 2 años en el cargo.
- Experiencia excluyente de a lo menos 3 años en Figma
- Experiencia excluyente de a lo menos 2 años en UX Research
- Experiencia excluyente de a lo menos 2 años en Design Thinking
- Experiencia demostrable trabajando en banca o fintech

Ofrecemos:
- Contrato indefinido.
- Modalidad remoto.
- Horario de lunes a viernes de 09:00 a 17:00 hrs.
- Beneficios: Seguro complementario, aguinaldo de fiestas patrias y navidad en UF, reajuste salarial trimestral, bono colación, entre otros.

Si cumples con los requisitos y estás listo para asumir este desafío, te invitamos a enviar tu CV actualizado en conjunto con tus pretensiones de renta para el cargo y disponibilidad a noelia.barrera@kibernum.com y estaremos en contacto";"Santiago";"2025-03-21 11:42:15";"2025-06-04 (en 72 días)"
"INGENIERO CLOUD OPS";"Negociable";"-La empresa paga o copaga una cobertura de salud adicional.
-Utiliza lo que desees, sin dresscode.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"Kabeli Selección";"Kabeli se encuentra en búsqueda de un Ingeniero Cloud Ops para colaborar con una consultora multinacional en modalidad híbrida. Buscamos un profesional con experiencia en Google Cloud Platform (GCP) y conocimientos sólidos en operaciones en la nube.

Funciones del Rol:

Administración y optimización de entornos en la nube: Gestionar y mantener la infraestructura en GCP, asegurando su disponibilidad, escalabilidad y seguridad.
Automatización y CI/CD: Implementar y mejorar pipelines de integración y despliegue continuo, utilizando herramientas de automatización.
Monitoreo y resolución de incidencias: Configurar herramientas de observabilidad para garantizar el rendimiento y la estabilidad de los servicios.
Gestión de seguridad y cumplimiento: Implementar políticas de seguridad, auditoría y mejores prácticas en la nube.

Requisitos:

Experiencia con Google Cloud Platform (GCP) en entornos productivos.
Conocimientos en infraestructura como código (IaC) con Terraform o similar.
Experiencia en automatización y scripting con Python, Bash o similar.
Manejo de herramientas de CI/CD como Jenkins, GitLab CI o similares.
Experiencia con contenedores y orquestación (Docker, Kubernetes).
Conocimientos en seguridad y monitoreo en la nube (Cloud Logging, Prometheus, Grafana).

Condiciones y Beneficios:
-2 días administrativos anuales.
-Día libre en tu cumpleaños.
-Bonos por Fiestas Patrias y Navidad.
-Seguro complementario de salud, vida y dental.
-Otros beneficios adicionales.

¡Únete a nuestro equipo y potencia tu carrera en un entorno dinámico y con grandes desafíos tecnológicos!";"Santiago";"2025-03-21 16:03:14";"2025-06-04 (en 72 días)"
"DESARROLLADOR FULL STACK";"Negociable";"-La empresa paga o copaga una cobertura de salud adicional.
-Utiliza lo que desees, sin dresscode.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Kabeli Selección";"Kabeli busca a un Desarrollador Full Stack – para trabajar en Rubro de Transformación digital, para ser parte de la fabrica de software. (Remoto) y colaborar en proyectos de distintos rubros (minería, financieros, desarrollos internos).

¿Qué buscamos?
2 años de experiencia.
Trabajo bajo metodologías ágiles.

Experiencia en:
React.js, Node.js
Servicios de AWS (Amazon S3, AWS Lambda, entre otros).

Beneficios:
2 días administrativos al año.
Día libre en tu cumpleaños.
Bonos por Fiestas Patrias y Navidad.
Acceso a Udemy para potenciar tu desarrollo profesional.
Seguro complementario de salud, vida y dental.";"Santiago";"2025-03-21 15:49:56";"2025-06-04 (en 72 días)"
"TÉCNICO EN SOPORTE TÉCNICO REMOTO/EN TERRENO";"700000";"-Ten libertad para hacer tus trámites, el horario de entrada y salida es flexible.
-Utiliza lo que desees, sin dresscode.
-Organiza tu tiempo y trabaja algunos días en tu hogar.
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"Soluciones Tecnologicas";"Buscamos un Técnico de Soporte con buena presencia, rapidez y paciencia para ayudar a nuestros clientes

Somos una empresa de software que acompaña a verdulerías, ferreterías, librerías y tiendas de frutos secos en su transformación digital. Nos enfocamos en que nuestros clientes se sientan apoyados, comprendidos y bien atendidos. Por eso, buscamos a alguien con actitud de servicio, que disfrute ayudar, resolver problemas y enseñar con paciencia.

Si tienes habilidades técnicas, te manejas bien con computadores y te interesa crecer en el mundo del soporte, ¡puede que esta oportunidad sea para ti!

¿Qué harás en este rol?

- Atender tickets de soporte de forma oportuna (nivel 1 y 2).
- Resolver problemas técnicos con impresoras, balanzas, computadores o el software.
- Apoyar a clientes en terreno o de manera remota, según la situación.
- Capacitar con paciencia a los usuarios en el uso correcto del sistema.
- Investigar errores del software y coordinar con el equipo técnico su solución.
- Realizar visitas programadas para soporte técnico preventivo o correctivo.
- Mantener los sistemas de los clientes actualizados y operativos.

Requisitos:

- Buena presencia, buena comunicación y trato cordial.
- Paciencia y disposición para enseñar a los clientes.
- Habilidades con computadores, redes, periféricos y tecnología en general.
- Movilización propia (excluyente).
- Buena disposición para estar disponible durante el día y resolver con prontitud.
- Ganas de aprender y mejorar constantemente.
- Disponibilidad para viajar dentro de la IX y X Región.

¿Qué ofrecemos?

- Trabajo mixto: días en terreno y otros desde casa.
- Sueldo líquido entre $500.000 y $700.000, dependiendo del rendimiento y cumplimiento.
- Ambiente de trabajo colaborativo, con foco en el aprendizaje y el crecimiento.
- La oportunidad de aportar en un equipo comprometido y cercano a sus clientes.
- Estamos buscando una persona comprometida, servicial, que disfrute resolver y ayudar con buena actitud. Si sientes que este rol es para ti, ¡esperamos tu postulación!";"Temuco";"2025-03-21 12:40:05";"2025-06-04 (en 72 días)"
"TECH LEAD, RUBY";"3200000";"-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
";"MASTERASESORIAS";"Empresa internacional con sede en Chile, requiere profesional para el cargo de Tech Lead. Con al menos 5 años de experiencia en desarrollo de software, con especial aplicación en RUBY en front y back end.
Deberá dirigir un equipo de desarrollo compuesto por front y back end, promoviendo buenas prácticas y entregas de calidad.
Colaborar con los PM para alinear la visión técnica con los objetivos del negocio, garantizando una experiencia de usuario óptima.
Identificar y mitigar riesgos técnicos, asegurar la correcta planificación y seguimiento de tareas del equipo.
Requerimientos del cargo.
• Diseñar y liderar las soluciones SaaS, asegurando escabilidad y mantenibilidad en front y back end.
• Buen Conocimiento en Ruby y Go.
• Base de datos SQL y NoSQL.
• Frameworks frontend modernos,
• Herramientas de desarrollo frontend, como Vite, Webpack y testing.
• Experiencia con Docker, Kubernetes y CI/CD
• Infraestructura cloud (AWS, Fargate, Aurora, S3, Cloud Fornt)
• Metodologías agiles.
• Integración de datos con IoT, análisis de datos de preferencia con retail.
Ingles avanzado. Trabaja remoto. Residencia en Chile o en otro país.
Favor enviar currículo indicando pretensiones de renta.";"Santiago";"2025-03-20 19:07:32";"2025-06-03 (en 71 días)"
"DESARROLLADOR OSB(ORACLE SERVICES BUS) - JAVA";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"Haibu Solutions Spa";"Estamos buscando un desarrollador Java y OSB(Oracle Services Bus) con experiencia laboral. Debes tener sólidos conocimientos en el desarrollo de Oracle Service Bus (OSB), WebLogic Server y Oracle SOA Suite, SOAP y REST. utilizando tecnologías para desarrollo e implementación de soluciones.

Descripción Perfil Desarollador OSB - Java
Habilidades:
• Oracle Service Bus (OSB) y Oracle SOA Suite.
• Desarrollo y mantenimiento de servicios SOAP y REST.
• Manejo de XSLT, XQuery, XML, WSDL, y esquemas XSD.
• Experiencia en configuración y administración de WebLogic Server.
• Integración con Bases de Datos y APIs externas.
• Conocimientos en seguridad
• Experiencia en monitoreo, depuración y optimización de servicios OSB.
• Java: Programación avanzada y patrones OOP.
• Spring Boot: Desarrollo de APIs RESTful, Spring MVC, Spring Data JPA y Spring Security.
• Bases de Datos: (ORACLE)
• Servidor de aplicaciones: WebLogic
• Oracle SQL

Responsabilidades:
• Diseñar y desarrollar aplicaciones con alto rendimiento.
• Integrar APIs y bases de datos.
• Optimizar código y solucionar problemas técnicos.
• Asegurar la calidad con pruebas (JUnit, Mockito).


Habilidades Blandas:
Trabajo en equipo, resolución de problemas y aprendizaje continuo.


Requisitos:
- Disponible para trabajo 3 x 2 gestionable para mas flexibilidad.
- Capacidad para trabajar de forma independiente y en equipos multidisciplinarios
- Excelentes habilidades de resolución de problemas y atención al detalle.
- Habilidades de comunicación verbal y escrita";"Santiago";"2025-03-20 16:02:03";"2025-06-03 (en 71 días)"
"ANALISTA CIBERSEGURIDAD T2";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-Utiliza lo que desees, sin dresscode.
-¡Come saludablemente!, la oficina tiene a disposición bebestibles y snacks.
-Cuidamos sus pertenencias y ofrecen un lugar para estacionar bicicletas.
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"Adaptive Security";"¡Buscamos un Analista de Ciberseguridad T2! ️

Si te apasiona la ciberseguridad avanzada, la investigación de amenazas y te encanta sumergirte en el mundo del threat hunting, malware analysis y threat intelligence, ¡esta es tu oportunidad!

Tu misión en el equipo

Analizar, investigar y responder a incidentes de seguridad avanzados.
Realizar ingeniería inversa, análisis de código malicioso y evaluación de vulnerabilidades.
Generar alertas, indicadores de compromiso y boletines de seguridad.
Operar herramientas SIEM (Splunk, QRadar, Elastic SIEM) y plataformas como VirusTotal, MISP, Shodan, OpenCTI.
Aplicar marcos como MITRE ATT&CK y Lockheed Martin Cyber Kill Chain.
Crear y gestionar reportes técnicos y tickets de incidentes.

Lo que buscamos en ti

Mínimo 2 años de experiencia en:
- Ciberseguridad, Threat Intelligence y Threat Hunting.
- Análisis de malware y respuesta ante amenazas avanzadas (APT y cibercrimen).
Conocimiento en análisis de tráfico de red y logs.
Familiaridad con OSINT y análisis forense digital.
Experiencia en scripting (Python, Bash, PowerShell - deseable).
Capacidad analítica y habilidades de resolución de problemas.
Inglés técnico intermedio (deseable).

Lo que ofrecemos

Un equipo apasionado por la ciberseguridad con un enfoque en innovación y crecimiento.
Oportunidad de trabajar con herramientas y tecnologías de punta.
Desarrollo profesional mediante certificaciones, cursos y capacitaciones.
Un entorno dinámico y desafiante donde cada día se aprende algo nuevo.

Si te apasiona la investigación de amenazas avanzadas y quieres formar parte de un equipo de élite en ciberseguridad, ¡te estamos buscando!
Postula ahora y conviértete en nuestro nuevo Analista T2.";"Santiago";"2025-03-20 18:02:30";"2025-06-03 (en 71 días)"
