Salario,Empresa,Comuna,Región,Cargo,Descripción
NaN,SoluNegocios,Santiago Centro,Metropolitana,Vendedor de Servicios BPO,"Holding con más de 20 años de presencia consolidada en el mercado nacional, reconocido por su compromiso con la innovación y la excelencia en el servicio se encuentra en búsqueda de un/a profesional Ingeniería Comercial o carreras afines para el cargo de Vendedor de Servicios BPO con tecnología, con el objetivo de fortalecer nuestra área comercial y expandir nuestra cartera de clientes. Objetivo del Cargo: Apoyar el cumplimiento del presupuesto anual de ventas de la compañía, a través de la creación, desarrollo y gestión de una cartera propia de clientes, con un enfoque prioritario en la venta de nuestros servicios BPO, impulsados por soluciones tecnológicas.   Requisitos Excluyentes: Experiencia mínima de 3 años en la venta de servicios BPO. Contar con una cartera de clientes activa, que permita cumplir con los objetivos de ventas establecidos. Experiencia demostrable en la venta de servicios BPO, siendo este el enfoque central de nuestros servicios.   Funciones Principales: Desarrollar una base propia de prospectos y clientes, a quienes ofrecer nuestros servicios. Elaborar y ejecutar un plan de relaciones comerciales, mediante visitas, correos electrónicos, llamadas telefónicas y otros medios, con el fin de identificar nuevas oportunidades de negocio. Cumplir con el plan de ventas acordado, realizando un seguimiento constante y manteniendo los estándares establecidos por la empresa. Realizar el debido control administrativo, incluyendo la actualización constante del CRM, participación en reuniones de seguimiento comercial y entrega periódica de informes sobre el avance de las metas de ventas.  Condiciones del Cargo: Posición: Vendedor/a de Servicios BPO Modalidad de trabajo: Híbrida. Horario: Lunes a viernes, de 08:45 a 18:30 horas. Tipo de contrato: Inicialmente plazo fijo, con opción de pasar a indefinido conforme al desempeño.  Beneficios: Seguro de salud complementario. Convenio oncológico (FALP). Acceso a Caja de Compensación. Aguinaldos en los meses de septiembre y diciembre. Presente especial por tu cumpleaños.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T.  años de experiencia Palabras clave: salesman, saleswoman, seller, vendedor, comercial, salesperson"
NaN,Softtek Chile,Las condes,Metropolitana,Desarrollador .Net Senior - (con portugués),"Licenciatura en Tecnología de la Información o área relacionada. Saber portugués  Mínimo de 5 años de experiencia en .Net (VB.Net y C#) en las siguientes tecnologías: Windows Forms WebForms, ASP.NET MVC, Core, Blazor. Frameworks 4.8.2 y Core 6, 8 Servicios web y API Debe tener experiencia con actualizaciones de .NET Framework a la nube Debe tener experiencia con la integración de Nota Fiscal, preferiblemente dentro del sector de Logística Microsoft SQL Server (DDL, DML, procedimientos almacenados) Experiencia trabajando con Azure DevOps Tools (repositorio Git, pipelines y administración de elementos de trabajo) Analizar y documentar defectos y trabajar con el equipo de desarrollo para la resolución de defectos Entorno lean-agile/SCRUM  Realiza un diseño detallado de aplicaciones complejas y componentes de arquitectura complejos Trabaja de forma independiente pero alinea el trabajo con compañeros de trabajo en ubicaciones dispersas Repara defectos medianos a complejos y resuelve problemas de rendimiento Responsable de los compromisos de servicio a nivel de solicitud individual para aplicaciones dentro del alcance Monitorea, rastrea y participa en la resolución de tickets para tickets asignados Gestiona revisiones de código y asesora a otros desarrolladores.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 5 años de experiencia Idiomas: Portugués   Palabras clave: developer, programador, dotnet, net, net, senior, sr"
NaN,People GO,Santiago Centro,Metropolitana,KAM (experiencia sector Industrial) – Santiago,"Somos People Go, empresa al Servicio de las Personas, siempre comprometidos con la Diversidad & Inclusión en sus infinitas formas, personalidades, culturas, etnias, origen, identidad, religión, edad, gustos y capacidades. Buscamos KAM (Key Account Manager) para impulsar el crecimiento comercial. Buscamos un candidato auto disciplinado, con amplios conocimientos en ventas y habilidades para establecer relaciones sólidas con clientes de mediana empresa en diversos rubros, especialmente en la industria de insumos y embalaje. El puesto se enfoca en realizar visitas directas, ofreciendo asesoría personalizada y ampliando nuestra presencia en el mercado. Principales Funciones: Segmentar base de datos de clientes Prospección y captación de clientes. Consolidación e incremento permanente de la cartera de clientes. Concertación y concreción de visitas en terreno. Preparación y seguimiento de ofertas y presupuestos. Acompañar la atención y seguimiento de requerimientos de sus clientes, promocionando técnicamente y prescribiendo la marca/categorías de los distintos productos. Atender correctamente los requerimientos que se produzcan con respecto al producto, gestionando las ocurrencias (reclamos de clientes). Asesorar de manera presencial a los clientes y aclarar posibles dudas sobre los productos y sus cualidades técnicos. Persuadir a los clientes en base a la información técnica de los atributos de los productos. Elaboración de informes cuantitativos que recogen su actividad y resultados. Participar en reuniones, capacitaciones, donde sea requerido.  Requisitos: Formación académica: Ingeniería en Administración de Empresas o formación afín. Poseer al menos 5 años en roles comerciales Experiencia en la venta de productos tangibles, idealmente Manejo con productos técnicos para la construcción y/o ferretero Disponibilidad para trabajar en terreno Disponer de movilización propia y licencia de conducir clase B vigente Manejo de Excel intermedio  avanzado Manejo de Software Laudus o similar  Condiciones laborales: Contrato: Plazo fijo 3 meses, renovación 3 meses o indefinido (post evaluación) Horario: lunes a viernes de 08:30 a 17:30 hrs Lugar de trabajo: Santiago.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 5 años de experiencia Edad: entre 30 y 60 años Licencias de conducir: B   Disponibilidad de viajar: Si Palabras clave: account, cuentas, industry, industrial, industria"
750000,Grafton Recruitment Chile,Las condes,Metropolitana,"Auxiliar de Farmacia Lo Fontecilla, Las Condes","¡ÚNETE A GRUPO GRAFTON!  Buscamos Auxiliares de Farmacia para importante cliente ubicado en Lo Fontecilla, Las Condes.   Principales funciones:  Dispensar los medicamentos a los clientes   Atención al cliente en la farmacia   Gestionar las recetas (medicamentos controlados y de venta libre)   Conocer y controlar los medicamentos   Manejo de Software farmacéuticos   Manejo de caja   Recepción y almacenamiento de productos   Control de stock   Mantención del orden y la limpieza   ¿Qué buscamos?  Experiencia y certificación como Auxiliar de farmacia ante la Superintendencia de Salud   Disponibilidad para trabajar en Lo Fontecilla, Las Condes   Experiencia en bodegaje, reposición y manejo de productos farmacéuticos (mínimo 3 años)   Ofrecemos:  Jornada laboral: 43 hrs semanales distribuidas de Lunes a Sábado, turno día   Renta líquida: $750.000  ¡Si cumples con estos requisitos, te estamos esperando! .   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 3 años de experiencia Palabras clave: ayudante, asistente, auxiliar, aux, auxiliary, assistant, helper, aide, botica, apoteca, pharmacy, farmacia"
NaN,Genesys Ltda.,Santiago Centro,Metropolitana,"Desarrollador Back End - Java, Python o GO","Somos una empresa con 34 años en el mercado, especializada en servicios de fábrica de desarrollo de software y prestación de profesionales a través de Outsourcing. Nuestra matriz se encuentra en Concepción, con operaciones en Santiago.    Hoy nos encontramos en búsqueda de un Desarrollador, que se una a nuestro equipo.    Condiciones del Cargo  Modalidad: híbrida (4 días presenciales, 1 día remoto) Contrato: fijo por 2 meses, luego indefinido. Duración del servicio: 12 meses. Disponibilidad: inmediata.   Objetivo del Cargo    Desarrollar, implementar y optimizar soluciones tecnológicas basadas en Go, Java o Python, asegurando la eficiencia y escalabilidad de los sistemas, con un enfoque en microservicios y consumo de datos desde BigQuery y Cloud SQL.    Responsabilidades    Diseñar, desarrollar e implementar microservicios escalables en entornos cloud. Consumir y optimizar la extracción de datos desde BigQuery y Cloud SQL. Implementar y mantener APIs RESTful para la integración con otras plataformas. Mejorar la arquitectura y eficiencia de los servicios mediante buenas prácticas en programación. Participar en la planificación y estimación de proyectos de desarrollo.     Requisitos    Formación: Ingeniería en Informática, Ingeniería en Computación o carrera afín. Experiencia: de 3 años a 5 años de experiencia en desarrollo backend con Go, Java o Python. Arquitectura de microservicios. Bases de datos en la nube como BigQuery y Cloud SQL. Contenedores (Docker, Kubernetes) y entornos CI/CD. Control de versiones con Git. Metodologías ágiles (Scrum/Kanban).     Si cumples con los requisitos y buscas un nuevo desafío, postula con nosotros.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 3 años de experiencia Palabras clave: developer, programador"
660000,Atcom,Pudahuel,Metropolitana,Paramédico - Pudahuel,"Destacado Viñedo se encuentra en búsqueda de paramédico para desempeñar funciones en la comuna de Pudahuel con disponibilidad inmediata   Requisitos: - Título técnico en el área de salud (Enfermería o afín). - Experiencia mayor a 1 año en el cargo. - Residencia en la comuna de Pudahuel o comunas cercanas. - Disponibilidad inmediata para trabajar a través de turnos rotativos. -Solo postulantes con su CV actualizado.  Horario: Lunes a sabado a través de turnos rotativos (Asignados por planificación) TURNO A DE 07:30 A 15:00 HRS TURNO B DE 15:00 A 22:30 HRS TUNO C DE 22:30 A 07:30 HRS  - Renta: $660.000 líquido mensual aproximadamente, más movilización.   - Colación en la empresa. -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Palabras clave: paramedical, paramedico"
NaN,Progestion Chile,Peñaflor,Metropolitana,Mercaderista Full time AM / Reemplazo hasta el 04 de marzo / Peñaflor local fijo,"Importante empresa de perfumería, aseo y limpieza necesita un reemplazo de mercaderista full time en la comuna de Peñaflor. Jornada Laboral:  LUN - MAR - JUE - VIE - SAB de 08:00 a 16:00 hrs.  MIE de 08:00 a 15:00 hrs Locales a cubrir:  LIDER 736 - BALMACEDA 750 Renta : $580.000 líquido mensual. (Proporcional a los días trabajados) Funciones:  Ordenar, Reponer y ordenar stock de productos Requisitos:  Contar con experiencia en reposición ruta en supermercados.  Contar con disponibilidad inmediata para trabajar ¡¡ Postula con nosotros !!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 23 y 50 años Palabras clave: comerciante, merchandiser, merchant, permanent, fijo"
900000,Ramcotec Ltda,Concepción,Bíobío,Técnico electronico trabajo en terreno - Disponibilidad de viajar,"Buscamos un Técnico Electrónico altamente motivado y con experiencia para unirse a nuestro equipo.  Responsabilidades:  Realizar trabajos de instalación, desinstalación, mantenimiento y reparación de equipos electrónicos en plataformas flotantes en el mar y embarcaciones. Diagnosticar y solucionar problemas electrónicos utilizando herramientas especializadas como multímetros digitales. Trabajar en equipo para cumplir con los objetivos del proyecto, incluso bajo presión. Realizar trabajos en altura y en entornos marítimos, asegurando el cumplimiento de las normas de seguridad. Utilizar herramientas eléctricas como taladros y desatornilladores para realizar tareas mecánicas. Gestionar tareas de manera independiente y eficiente.  Requisitos:  Disponibilidad para viajar. Capacidad para trabajar en equipo y bajo presión. Habilidades mecánicas y manejo de herramientas eléctricas. Resistencia al mareo y capacidad para trabajar en altura. Conocimiento en el uso de multímetros digitales para medir señales. Capacidad para gestionar tareas de manera independiente. Ideal título de Técnico en Electrónica o similar. Ideal Conocimientos en automatización. Licencia de conducir clase B al dia.  Ofrecemos:  Salario competitivo de acuerdo al mercado y beneficios atractivos. Oportunidad de trabajar en proyectos desafiantes y únicos. Desarrollo profesional y crecimiento dentro de la empresa. Ambiente de trabajo dinámico y colaborativo. Debera comenzar como ayudante por 3 meses para luego desarrollarse con tareas independientes de acuerdo a sus avances aumentando sus beneficios.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica  años de experiencia Edad: entre 30 y 45 años Conocimientos: Tecnología de la información, Electrónica Licencias de conducir: B   Disponibilidad de viajar: Si Palabras clave: tecnologo, tecnico, tech, technician, technology, tecnologia, technologist, electronic, campo, terreno, territorio"
650000,Atcom,Quilicura,Metropolitana,Auxiliar de aseo - Valle Grande (Quilicura),"Importante empresa de fabricación de envases y embalajes está buscando un Auxiliar de aseo para la comuna de Quilicura  Funciones: - Mantener limpias las áreas administrativas y de uso público. - Lavar pisos y/o pasar aspiradora. - Mantener limpios y desinfectados los baños. - Mantener el stock de elementos normalmente utilizados en los baños (papel higiénico, jabón) y en sus labores de limpieza, según instrucciones asignadas. - Efectuar diversas tareas de ordenamiento en las distintas dependencias. - Transportar y almacenar diversos materiales, tales como artículos de aseo. Limpiar las áreas de pasillos, escaleras y, en general, todas las áreas de servicio. - Realizar tareas para desmanchar pisos, alfombras y otras superficies. - Retirar y trasladar la basura desde los diferentes departamentos  Requisitos: - Experiencia en cargos similares. - Contar con disponibilidad para trabajar en la comuna de Quilicura - Disponibilidad inmediata  Condiciones laborales:  Horario: De lunes a viernes desde las 8:00 hrs a 5:45 hrs. Renta: $650.000 líquidos Contrato directo con la empresa.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica  años de experiencia Edad: entre 35 y 45 años Palabras clave: ayudante, asistente, auxiliar, aux, auxiliary, assistant, helper, aide, higiene, cleaning, limpieza"
800000,Atcom,Santiago Centro,Metropolitana,Electricista - Santiago,"¡Somos ATCOM!  Empresa del rubro industrial se encuentra en búsqueda de un Electricista Back Office para el área de Ventas Técnicas.  ¿Qué requisitos debes cumplir para postular?  Formación técnica en Tec en Electricidad o similar. Experiencia en procesos administrativos de ventas, facturación y atención al cliente. Conocimientos en productos eléctricos de baja tensión. Manejo intermedio de ERP (ideal Softland) y Office.   ¿Qué funciones desempeñarás?  Atención a clientes subdistribuidores. Procesamiento y seguimiento de pedidos. Apoyo en la preparación de cotizaciones y notas de venta. Coordinación con áreas de logística, cobranzas y administración. Actualización de fichas técnicas y apoyo en campañas comerciales. Generación de reportes, control de documentación y atención postventa.  Las condiciones de esta oferta son:  Renta líquida: Renta líquida: $800.000 + bono por desempeño a evaluación desde el 1er mes de $150.000 líquidos (sujeto a cumplimiento de metas). Horario: Lunes a jueves de 8:00 a 17:30 horas y viernes de 8:00 a 16:00 horas (30 minutos de colación). Modalidad: 100% presencial. (Santiago/El Bosque). Contrato: Plazo fijo inicialmente.-Requerimientos- Educación mínima: Educación media C.H. / Técnica  años de experiencia Disponibilidad de viajar: Si Palabras clave: electrico, electrician, lineman, electricista"
