rph_ID,idhogar,enc_region,enc_rpc,P_AUMENTO_COM,P_INSEG_LUGARES_14,SCREEN_INT_RDV,SCREEN_INT_RFV,SCREEN_INT_RVI,SCREEN_ROB_HUR
00-00-33-94_1,00-00-33-94-H1,10,10101,1.0,3.0,,2.0,2.0,2.0
00-00-41-76_2,00-00-41-76-H1,10,10202,2.0,3.0,2.0,2.0,2.0,2.0
00-00-66-72_1,00-00-66-72-H1,6,6301,1.0,85.0,,2.0,2.0,2.0
00-01-54-78_1,00-01-54-78-H1,15,15101,1.0,85.0,,2.0,2.0,2.0
00-01-76-97_1,00-01-76-97-H1,9,9101,1.0,3.0,2.0,2.0,2.0,2.0
00-01-84-37_2,00-01-84-37-H1,16,16109,2.0,3.0,2.0,2.0,2.0,2.0
00-02-30-84_1,00-02-30-84-H1,15,15101,1.0,85.0,2.0,2.0,2.0,2.0
00-02-35-19_2,00-02-35-19-H1,13,13127,2.0,3.0,,2.0,1.0,2.0
00-03-19-04_1,00-03-19-04-H1,3,3101,1.0,85.0,2.0,2.0,1.0,2.0
00-03-25-84_2,00-03-25-84-H1,3,3101,1.0,2.0,2.0,2.0,2.0,2.0
00-03-30-03_1,00-03-30-03-H1,5,5101,1.0,85.0,,2.0,2.0,1.0
00-03-34-18_2,00-03-34-18-H1,13,13131,1.0,3.0,,2.0,2.0,2.0
00-03-35-24_3,00-03-35-24-H1,8,8112,1.0,85.0,2.0,2.0,2.0,2.0
00-03-48-92_1,00-03-48-92-H1,5,5109,1.0,2.0,2.0,2.0,2.0,2.0
00-03-55-30_1,00-03-55-30-H1,13,13110,1.0,85.0,,2.0,2.0,2.0
00-03-55-63_5,00-03-55-63-H1,6,6201,3.0,85.0,,2.0,2.0,2.0
00-03-56-53_2,00-03-56-53-H1,8,8102,1.0,85.0,2.0,2.0,2.0,2.0
00-03-92-65_6,00-03-92-65-H1,13,13128,1.0,4.0,2.0,2.0,2.0,2.0
00-03-94-89_2,00-03-94-89-H1,8,8102,1.0,85.0,2.0,2.0,2.0,2.0
00-04-15-09_1,00-04-15-09-H1,8,8110,1.0,4.0,2.0,2.0,2.0,2.0
00-04-18-59_1,00-04-18-59-H1,13,13131,1.0,85.0,,2.0,2.0,2.0
00-04-34-98_2,00-04-34-98-H1,8,8108,1.0,3.0,2.0,2.0,2.0,2.0
00-04-50-29_1,00-04-50-29-H1,13,13302,1.0,3.0,,2.0,2.0,2.0
00-04-59-69_1,00-04-59-69-H1,13,13117,1.0,3.0,2.0,2.0,1.0,2.0
00-05-17-19_2,00-05-17-19-H1,1,1401,1.0,3.0,2.0,2.0,2.0,2.0
00-05-75-79_2,00-05-75-79-H1,5,5109,1.0,85.0,,2.0,2.0,2.0
